author_id,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
0,0.999,0.004500000000000004,0.0015000000000000013,0.889,0.97,0.0005000000000000004,0.0005000000000000004,0.238,0.0015000000000000013,0.0050000000000000044,0.994,0.9804999999999999,0.034499999999999975,0.9964999999999999,0.003500000000000003,0.0010000000000000009,0.0005000000000000004,0.0005000000000000004,0.0040000000000000036,0.005500000000000005,0.003500000000000003,0.007000000000000006,0.0010000000000000009,0.1205,0.0005000000000000004,0.15400000000000003,0.0010000000000000009,0.0,0.0015000000000000013,0.0,0.0005000000000000004,0.0005000000000000004,0.991,0.0005000000000000004,0.9955
1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.02200000000000002,0.02200000000000002,0.008000000000000007,0.94,0.0015000000000000013,0.0010000000000000009,0.006500000000000006,0.0050000000000000044,0.0030000000000000027,0.0005000000000000004,0.0050000000000000044,0.020500000000000018,0.0015000000000000013,0.0005000000000000004,0.007000000000000006,0.0005000000000000004,0.0020000000000000018,0.01200000000000001,0.007500000000000007
2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0030000000000000027,0.0010000000000000009,0.0025000000000000022,0.2405,0.9984999999999999,0.0030000000000000027,0.01050000000000001,0.978,0.0005000000000000004,0.0005000000000000004,0.0010000000000000009,0.009500000000000008,0.0020000000000000018,0.004500000000000004,0.0010000000000000009,0.9944999999999999,0.009500000000000008
3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.010000000000000009,0.0010000000000000009,0.9864999999999999,0.9955,0.058499999999999996,0.0010000000000000009,0.0010000000000000009,0.01150000000000001,0.0030000000000000027,0.0040000000000000036,0.003500000000000003,0.016000000000000014,0.08150000000000002,0.0020000000000000018,0.008000000000000007,0.0005000000000000004,0.030000000000000027
4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0005000000000000004,0.8085,0.0010000000000000009,0.008000000000000007,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,0.0040000000000000036,0.005500000000000005,0.0005000000000000004,0.044999999999999984,0.0030000000000000027,0.0030000000000000027,0.0005000000000000004,0.0005000000000000004
5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0020000000000000018,0.0050000000000000044,0.1175,0.0050000000000000044,0.0010000000000000009,0.0,0.978,0.04999999999999999,0.009000000000000008,0.004500000000000004,0.008500000000000008,0.9505,0.0015000000000000013,0.0005000000000000004,0.0010000000000000009,0.0010000000000000009
6,0.5,0.5,0.5,0.006500000000000006,0.006500000000000006,0.006500000000000006,0.006500000000000006,0.0025000000000000022,0.0015000000000000013,0.0015000000000000013,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.0005000000000000004,0.0010000000000000009,0.0005000000000000004,0.0005000000000000004,0.004500000000000004,0.003500000000000003,0.0655,0.99,0.0010000000000000009,0.0010000000000000009,0.0,0.9245,0.815,0.0010000000000000009
7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.003500000000000003,0.0005000000000000004,0.0,0.004500000000000004,0.0025000000000000022,0.0015000000000000013,0.0020000000000000018,0.995,0.006500000000000006,0.0,0.007500000000000007,0.9975,0.027500000000000024,0.0020000000000000018
8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.994,0.02300000000000002,0.0010000000000000009,0.0005000000000000004,0.0005000000000000004,0.0005000000000000004,0.9245,0.020500000000000018,0.09749999999999998,0.852,0.892,0.0050000000000000044,0.0,0.03149999999999997,0.008000000000000007
9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9924999999999999,0.0015000000000000013,0.009000000000000008,0.0010000000000000009,0.0010000000000000009,0.02300000000000002,0.9995,0.0015000000000000013,0.006500000000000006,0.0005000000000000004,0.005500000000000005,0.0010000000000000009,0.006000000000000005,0.0015000000000000013,0.07950000000000002
